m/z,feature importance
781.61572265625,0.056819033
729.4780883789062,0.056818034
809.449462890625,0.05663431
660.4212036132812,0.05659074
633.4874267578125,0.05655765
751.5220947265625,0.05644386
811.46435546875,0.05580746
630.3776245117188,0.055787917
644.596923828125,0.05559734
711.4338989257812,0.05547167
745.4773559570312,0.05543756
475.21966552734375,0.055125315
746.5673217773438,0.055011343
697.4745483398438,0.054743808
718.53857421875,0.054557268
548.3113403320312,0.054275054
535.2369384765625,0.054261234
365.2796630859375,0.053766433
782.565673828125,0.053663168
627.4677124023438,0.053502243
516.247802734375,0.053352844
506.3582458496094,0.05333152
619.528076171875,0.053208616
812.519287109375,0.053148415
876.58642578125,0.053025525
862.5570678710938,0.052979518
852.5775146484375,0.052946847
397.22821044921875,0.05277976
603.5338134765625,0.05260622
522.3574829101562,0.052327897
832.5833740234375,0.05231059
854.5623779296875,0.052264433
856.5823364257812,0.052247774
798.4599609375,0.052107934
843.6578979492188,0.051899415
686.5850219726562,0.051868897
661.5211791992188,0.05180196
503.2533874511719,0.05172834
872.4815673828125,0.051700596
833.6483764648438,0.051673304
313.2720031738281,0.051579397
469.2899169921875,0.051338803
459.2453918457031,0.05109631
733.5178833007812,0.05090869
813.479248046875,0.050896894
895.6905517578125,0.05086386
802.634765625,0.05041698
675.445556640625,0.05023085
593.50927734375,0.050186504
731.4979858398438,0.050122786
782.5056762695312,0.050002445
695.4596557617188,0.049771238
856.50732421875,0.049716737
635.5023803710938,0.049517017
591.494384765625,0.049321968
872.5565795898438,0.049022507
846.5377807617188,0.049021143
487.27911376953125,0.049009386
361.2098388671875,0.048713002
751.4620971679688,0.048598494
703.5742797851562,0.0483921
466.3300476074219,0.048240025
776.5559692382812,0.04819997
641.5120849609375,0.048194844
463.2201843261719,0.048102964
392.1534423828125,0.047993105
830.5285034179688,0.047936257
622.3679809570312,0.047842752
858.5272216796875,0.047808822
855.7373657226562,0.04774874
838.6281127929688,0.047706995
832.5233764648438,0.047374267
864.5669555664062,0.047345813
387.24365234375,0.047247145
880.5462036132812,0.047211383
518.3226928710938,0.04704356
694.5147094726562,0.046959598
423.1720275878906,0.04690508
861.6670532226562,0.04690444
728.5181274414062,0.046728116
842.5879516601562,0.046643946
584.3046875,0.04664245
473.2697448730469,0.046512563
788.5504150390625,0.046296667
852.5125122070312,0.046089645
752.5570678710938,0.04603262
753.5869750976562,0.04598726
809.6494140625,0.045886103
646.411865234375,0.04585701
756.5518798828125,0.045666102
761.45166015625,0.045646925
485.2641906738281,0.04562812
756.4918823242188,0.045263935
799.669921875,0.045140963
597.4840698242188,0.045110945
911.6798095703125,0.0449902
844.5228881835938,0.044989627
648.6267700195312,0.044864107
860.6121215820312,0.04482362
753.4819946289062,0.044567283
794.5701293945312,0.04452235
643.5269775390625,0.044432495
747.4922485351562,0.04441313
560.310791015625,0.044301044
826.5686645507812,0.044192445
871.7066040039062,0.04414973
531.4071044921875,0.044003617
607.4686279296875,0.043977212
882.5611572265625,0.04370634
724.5283203125,0.04365674
763.4615478515625,0.043560583
730.5380249023438,0.043419328
758.5667724609375,0.04331297
863.6820068359375,0.043229032
750.5421142578125,0.0422812
828.5535888671875,0.04217166
784.5255737304688,0.042088073
853.722412109375,0.04206762
725.4483032226562,0.042065393
478.3294982910156,0.04188693
457.28045654296875,0.041837838
804.5496826171875,0.04177242
398.2381591796875,0.041457217
804.6096801757812,0.041042265
802.5897827148438,0.041039485
727.5181884765625,0.040635716
311.2671203613281,0.04054052
589.4794311523438,0.04050507
818.5940551757812,0.040325213
479.2344665527344,0.040317032
796.5850219726562,0.040306557
836.6132202148438,0.04024413
615.4932861328125,0.0401824
590.3494262695312,0.039992582
737.5077514648438,0.03997628
562.32568359375,0.03994401
735.4927978515625,0.03987051
881.7511596679688,0.039808776
830.5634765625,0.03942753
504.34332275390625,0.039283056
811.6643676757812,0.039251123
599.3240356445312,0.03922547
854.5274047851562,0.038879644
740.5225830078125,0.03875983
573.4851684570312,0.038724784
874.7315063476562,0.038631324
834.538330078125,0.038299788
485.1991882324219,0.038268607
730.5730590820312,0.038263496
709.4739990234375,0.038246397
500.3135070800781,0.038227525
519.2626342773438,0.038195934
589.5194702148438,0.03801539
427.3818359375,0.037822235
885.666015625,0.037245225
818.5640258789062,0.037131805
825.6237182617188,0.0366763
769.4762573242188,0.03663091
740.7075805664062,0.036280442
415.3173828125,0.03576791
860.5421142578125,0.03554179
702.5443115234375,0.035298597
840.5730590820312,0.035277028
575.5001220703125,0.035242792
858.5922241210938,0.035145972
766.5413818359375,0.034459192
387.3236389160156,0.034422014
620.39306640625,0.033434387
858.5621948242188,0.033130687
828.4935913085938,0.033017013
790.5552978515625,0.03286239
719.4585571289062,0.032824818
546.3514404296875,0.032190677
820.6039428710938,0.03200673
621.4829711914062,0.03190555
616.3582153320312,0.0318403
774.6010131835938,0.0318135
778.4758911132812,0.031568054
467.25,0.031382907
774.571044921875,0.031306375
778.535888671875,0.029828612
576.4750366210938,0.029005487
363.16473388671875,0.028879467
445.2710266113281,0.027488414
447.2859191894531,0.027151857
823.663818359375,0.026918259
547.4713745117188,0.023275644
866.5818481445312,0.0226871
912.6897583007812,0.022434007
436.1864318847656,0.01962924
878.5263061523438,0.018504295
800.6148681640625,0.018204175
897.7254638671875,0.017517224
542.3215942382812,0.016615268
775.4609985351562,0.015769046
337.2759094238281,0.014654499
319.2617492675781,0.013991851
814.5592041015625,0.011466917
816.5791015625,0.009696949
879.7362670898438,0.0
