,UPEC_13
829.7235,0.07154018471501655
856.5423,0.07142745200918066
503.2534,0.07133884428603943
401.338,0.07119673440204322
550.35626,0.07119639019350832
851.6375,0.07112696943593133
565.51556,0.0710678020039105
840.57306,0.07102775594217514
621.483,0.07076732712044909
725.4483,0.07065165944077567
361.27484,0.07061464758695002
774.57104,0.07052028589179393
421.2721,0.07023879683527812
797.58997,0.07020140560004773
885.666,0.0701613416718343
730.57306,0.07004627852026524
467.25,0.07003152241805688
838.5581,0.06996663167807249
836.5432,0.06979698557307601
852.5125,0.06975619875615702
854.5274,0.0696510499884253
737.50775,0.06947035963472459
842.58795,0.06933853231471099
832.5234,0.06893622756843576
397.3082,0.06882016019784643
649.5167,0.06855032030926955
872.48157,0.06846295168353489
415.31738,0.06843606878864672
547.4714,0.06824791655957574
896.7155,0.06796629757422656
804.4947,0.06773902589730196
589.5195,0.06767191405288653
718.5386,0.06761090820429949
849.6226,0.06755699263140535
619.5281,0.06744611955495705
706.5391,0.06719058728578664
843.6579,0.06677229607541624
709.474,0.06673928508551696
727.5182,0.06655848750864624
833.6484,0.06655806981314794
880.5462,0.06644405288567834
793.5002,0.06622163578824491
836.6132,0.06615410640114805
542.3216,0.066109767147287
549.35626,0.06607486785357786
813.68427,0.06604931378217749
733.5179,0.06581898804998976
802.5898,0.06579221212890063
874.7315,0.06562529346325852
758.5118,0.06543504666170452
825.6237,0.06519196918535752
485.2642,0.06511608365768295
463.22018,0.06508800134500958
833.75336,0.064934005714253
551.3712,0.06438828749953318
788.5504,0.064282793497622
753.587,0.06413887187185063
827.7036,0.06397587236510338
858.5622,0.06391506450004325
776.55597,0.06386696712195983
447.28592,0.06377766995929834
683.5002,0.06376086680771531
735.53284,0.06371660075868757
872.5566,0.06357039230758654
591.4944,0.0633622240422983
764.5215,0.06330364335670491
854.5624,0.06323869534746884
548.31134,0.06313867218380986
735.4928,0.06303866620897514
510.35806,0.06295616078563548
482.32434,0.0629168898868635
778.4759,0.06287622523286851
630.6176,0.06252938994416302
870.5367,0.06233771589141035
751.4621,0.0623309645670056
537.4868,0.06173557155707299
615.4933,0.06152235350709856
858.5922,0.06151672159997379
802.63477,0.06124117836955223
379.294,0.06096890180489167
365.27966,0.06092153795375621
874.5715,0.06088338078650213
738.5127,0.0607396143558091
702.5443,0.06049144628959369
882.56116,0.06041076509917054
868.5268,0.060407972529499476
864.56696,0.06034945379221468
856.5073,0.06020714631211177
646.41187,0.05995550302604691
643.527,0.05970102826271617
866.58185,0.059597369726348326
645.54193,0.05951220709046101
538.5218,0.05884587374460326
813.47925,0.058828314525489755
895.69055,0.05858431179793666
809.6494,0.058557964383405436
701.50934,0.058532795878487254
710.48395,0.05819238350443967
860.5421,0.058010133046856205
633.4874,0.05785089291804957
811.46436,0.057411130448993264
