m/z,UPEC_13,UPEC_15,UPEC_14,UPEC_12,mean
857.75226,0.0367176108854053,0.044176295332195,0.0879674781453946,0.0447225524200447,0.0533959841957599
855.73737,0.0375277603280423,0.0409401977156535,0.0874405752966692,0.0446099457811307,0.05262961978037392
741.5275,0.0160180349243551,0.0571386262197366,0.003039684022929,0.1342098700713486,0.052601553809592326
789.48035,0.0263892342794955,0.050498728941142,0.0598922610533262,0.0734739299082675,0.0525635385455578
504.34332,0.0336701480847319,0.039480507090639,0.0658296268189185,0.0679070345221731,0.05172182912911563
524.36743,0.032846958109097,0.0485855395689322,0.0425577573866146,0.0825280985542749,0.05162958840472967
863.682,0.0276501799903096,0.0320772450784161,0.0768285858886788,0.0692126527463027,0.0514421659259268
796.585,0.0329131343899453,0.0401858756741172,0.058384623761904,0.0725142717583854,0.05099947639608798
881.75116,0.0383554658494123,0.0440942409927237,0.0838086266360615,0.0377381470242768,0.05099912012561858
546.35144,0.0393589976412616,0.0430117641813362,0.0338719161378018,0.087400703518238,0.0509108453696594
883.77106,0.044941357674517,0.0409130442736863,0.0726628052885213,0.044266645236938,0.05069596311841564
478.3295,0.0284254875259481,0.0431632951553585,0.0548760556984423,0.0758844216039928,0.050587314995935426
725.5533,0.0239007437122242,0.0507535884074859,0.0023906902677414,0.1243882612579915,0.05035832091136075
814.5592,0.0306064632078012,0.0348166433643946,0.0612468657289583,0.0745821043706547,0.050313019167952194
735.4328,0.0351510864676035,0.0380885240052174,0.0631580188178423,0.0640474816784882,0.05011127774228785
787.46545,0.0275851413657224,0.0381370834133978,0.0521036683028296,0.0766372395332411,0.04861578315379772
796.63007,0.0203514204141935,0.0406371056568893,0.0360739252413312,0.0966565522755825,0.04842975089699912
818.50903,0.0332134165144756,0.0312834129469248,0.0656696389461016,0.0634087204817879,0.04839379722232248
459.2454,0.0348699164233052,0.0379077818922073,0.0387922184511184,0.0816487304710766,0.04830466180942688
597.4841,0.0340155229125886,0.0407283216854699,0.0606047118751778,0.0576903231872178,0.04825971991511352
782.5057,0.0335897496915371,0.0351033298993076,0.0551298738546504,0.0651388292352264,0.047240445670180375
337.2759,0.0262133321057981,0.0515946077857669,0.037631384316695,0.0725577243434972,0.0469992621379393
719.45856,0.033530576043539,0.0358253627214638,0.0643219483246964,0.0539054021543998,0.046895822311024744
522.3575,0.0290036205851984,0.0356873636634148,0.0456359879530693,0.0752800222431992,0.04640174861122043
790.5553,0.0254391741973048,0.0414154656709294,0.0409490062619718,0.0762022782444122,0.04600148109365455
730.538,0.0275080920854464,0.0307205750755597,0.0634148793436641,0.061686278210854,0.045832456178881056
859.76715,0.0334887130601061,0.0358347103362669,0.0825231528571386,0.0312301179023474,0.04576917353896475
845.6728,0.02987238050665,0.0329627638937999,0.0653996480328005,0.0542389196749305,0.04561842802704523
683.5002,0.0149497292855974,0.0387748056246752,0.0231680037009013,0.104276673763574,0.045292303093686974
393.29837,0.0193129606039777,0.0597785976970906,0.0161746070950831,0.0842174477620252,0.04487090328954415
879.73627,0.0377671186817708,0.0400613228197428,0.0674597328122804,0.0327042069174331,0.04449809530780678
834.5383,0.0277294024720614,0.0351215567148154,0.0503521960125214,0.0637691872805418,0.044243085619985
853.7224,0.0329668611906513,0.0386696759330891,0.0656659490419208,0.0391490023424389,0.04411287212702503
750.5421,0.0320118131184197,0.0352887490057749,0.0495110273160568,0.0592230426147263,0.04400865801374443
897.72546,0.0360390902495272,0.0333271179610961,0.0617267238764057,0.0447263467712992,0.04395481971458205
812.5193,0.0260039743192416,0.0313781202459865,0.0482925709787336,0.0698661557888925,0.04388520533321355
735.53284,0.0287057383269981,0.0418121400074465,0.0265511328946155,0.0760173037401185,0.04327157874229465
871.7066,0.0333795323545384,0.0230261307554102,0.0635788324971888,0.0522340478628548,0.04305463586749805
560.3108,0.0280274706180474,0.0347117791033445,0.0294432478450488,0.0794785733032489,0.0429152677174224
733.5179,0.0310744464222628,0.0373892567030966,0.0254789294881785,0.0772717460247493,0.0428035946595718
829.7235,0.0285073698308816,0.029963374519385,0.0651842195101378,0.0473277435746211,0.042745676858756375
740.5226,0.0240477271125008,0.0306386707586709,0.0472208686353928,0.0655443166169237,0.04186289578087205
703.5743,0.0109509531502342,0.0436112352256248,0.0001132339747947,0.1124452310838113,0.04178016335861625
399.3231,0.0223263702863307,0.0462418169479554,0.0441006535326192,0.0542110584936482,0.04171997481513837
828.4936,0.0249765531520673,0.0300377200349616,0.041063301252398,0.0702737635815578,0.041587834505246175
419.2522,0.0226575724878591,0.0394532525241896,0.0389718660497383,0.0630764594655365,0.041039787631830874
830.5285,0.0218591588396657,0.0280178707218414,0.0395339413060015,0.0744369937021507,0.040961991142414826
487.2791,0.0302561581005862,0.0334631840499187,0.0323969765645152,0.0669989866407449,0.040778826338941254
756.4919,0.0261923701976924,0.030382511207955,0.0494362211447851,0.0570780874434031,0.0407722974984589
415.31738,0.020485817112695,0.0435347949152306,0.0524772287987065,0.0464278227002299,0.0407314158817155
840.57306,0.0221931767302859,0.0265805562198197,0.0429651353406097,0.070695491990713,0.040608590070357074
794.5701,0.0221455211495661,0.0343583985781267,0.0322236328992852,0.0736357564408858,0.040590827266965945
785.45056,0.0195493101367587,0.0368930379059312,0.0262190046491289,0.0783604496642059,0.040255450589006175
521.3975,0.0136552244817221,0.0580475026192981,0.0186046332224418,0.0706333305073101,0.04023517270769303
753.482,0.033134761742261,0.0298008115008689,0.0407405536276051,0.0549497826715094,0.0396564773855611
828.5536,0.0165452120222598,0.0373191228350827,0.0368017125393916,0.0667924894678806,0.039364634216153674
371.31937,0.0203568852413195,0.0594911853949666,0.0130382234679336,0.0635394684472935,0.0391064406378783
856.5423,0.0247839697284667,0.0246738786824661,0.0346749186923605,0.0712966382958961,0.03885735134979735
844.5229,0.0150187588901646,0.0392309642391443,0.0298786421514892,0.071089660235237,0.03880450637900877
727.5182,0.0180030724203873,0.0346632553143864,0.0355317615368739,0.0669373761320847,0.038783866350933074
850.49756,0.0183138490234721,0.0306925426440252,0.0336814384699444,0.0721959871866339,0.0387209543310189
833.75336,0.0231890078462454,0.0305677362983605,0.0782475578093027,0.0227108229186537,0.03867878121814058
