,x,y,class,0,1
155,77,1,3,0.08304353,0.53426015
156,78,1,3,0.048919685,0.44069195
157,79,1,3,0.04848561,0.4753672
158,80,1,3,0.12561442,0.58804804
159,81,1,3,0.06684529,0.45828763
160,82,1,3,0.032021746,0.32738203
161,83,1,3,0.15599023,0.6455591
162,84,1,3,0.11761098,0.59043825
163,85,1,3,0.0298604,0.27227274
164,86,1,3,0.099647366,0.5644834
165,87,1,3,0.02495953,0.38799974
166,88,1,3,0.09380497,0.41601393
167,89,1,3,0.011807554,0.30538398
168,90,1,3,0.037391976,0.4081835
169,91,1,3,0.044852596,0.38752803
170,92,1,3,0.017707018,0.32408372
171,93,1,3,0.023185596,0.43777418
172,94,1,3,0.10635836,0.5820711
173,95,1,3,0.09883108,0.57298785
174,96,1,3,0.069375955,0.47355276
175,97,1,3,0.10060283,0.50855345
176,98,1,3,0.15556604,0.6653294
177,99,1,3,0.23185898,0.7364907
178,100,1,3,0.22287434,0.7309212
179,101,1,3,0.09381358,0.5851249
180,102,1,3,0.2471549,0.73792
181,103,1,3,0.2339544,0.7230767
182,104,1,3,0.10872092,0.5957676
183,105,1,3,0.19437744,0.69300467
184,106,1,3,0.27859592,0.70038044
185,107,1,3,0.06910552,0.5202514
186,108,1,3,0.16276832,0.6395645
187,109,1,3,0.14741385,0.5705148
188,110,1,3,0.11545779,0.45538628
189,111,1,3,0.1040845,0.58054143
190,112,1,3,0.047648832,0.4158093
191,113,1,3,0.10970295,0.48079252
192,114,1,3,0.20173503,0.68807954
193,115,1,3,0.114217594,0.6035679
194,116,1,3,0.1420783,0.6323064
195,117,1,3,0.18455185,0.6838887
196,118,1,3,0.24058978,0.728687
197,119,1,3,0.12508035,0.5912496
198,120,1,3,0.12556057,0.6388684
199,121,1,3,0.10450624,0.52446914
200,122,1,3,0.21400556,0.6958365
201,123,1,3,0.118925594,0.5880252
202,124,1,3,0.15371573,0.661686
203,125,1,3,0.15684143,0.67054844
204,126,1,3,0.06777486,0.51931274
205,127,1,3,0.07768067,0.55423117
206,0,2,3,0.30474687,0.55856365
207,1,2,3,0.32064298,0.6401556
208,2,2,3,0.30435783,0.49570054
209,3,2,3,0.36440566,0.5972913
210,4,2,3,0.38921338,0.62721425
211,5,2,3,0.3036218,0.57542145
212,6,2,3,0.37547275,0.60640126
213,7,2,3,0.33967814,0.52772546
